1108900;1108899;Москва
1110407;1108899;Московская область
1110408;1108899;Красноярск
1110409;1108899;Нижний Новгород
1111285;1108899;Чувашская Респ - Чувашия
1111316;1108899;Калининград
1111317;1108899;Тверская область
1111318;1108899;Рязанская область
1111319;1108899;Тульская область
1112367;1108899;Челябинская область
1112370;1108899;Краснодарский край
1112371;1108899;Курская область
1112372;1108899;Архангельская область
1112423;1108899;Агинский Бурятский автономный округ
1112424;1108899;Алтайский край
1112425;1108899;Амурская область
1112426;1108899;Астраханская область
1112427;1108899;Белгородская область
1112428;1108899;Брянская область
1112429;1108899;Владимирская область
1112430;1108899;Волгоградская область
1112431;1108899;Вологодская область
1112432;1108899;Воронежская область
1112433;1108899;г. Санкт-Петербург
1112434;1108899;Еврейская автономная область
1112435;1108899;Забайкальский край
1112436;1108899;Ивановская область
1112437;1108899;Иные территории,включая город и космодром Байконур
1112438;1108899;Иркутская область (Братск, Вихоревка, Усть-Кут)
1112439;1108899;Иркутская область (Иркутск, Ангарск, Черемхово, Зима, Саянск)
1112440;1108899;Кабардино-Балкарская Республика
1112441;1108899;Калужская область
1112442;1108899;Камчатский край
1112443;1108899;Карачаево-Черкесская Республика
1112444;1108899;Кемеровская область
1112445;1108899;Кировская область
1112446;1108899;Коми-Пермяцкий автономный округ
1112447;1108899;Корякский автономный округ
1112448;1108899;Костромская область
1112449;1108899;Красноярский край (местности, приравненные к районам Крайнего Севера)
1112450;1108899;Курганская область
1112451;1108899;Ленинградская область
1112452;1108899;Липецкая область
1112453;1108899;Магаданская область
1112454;1108899;Мурманская область
1112455;1108899;Ненецкий автономный округ
1112456;1108899;Новгородская область
1112457;1108899;Новосибирская область
1112458;1108899;Омская область
1112459;1108899;Оренбургская область
1112460;1108899;Орловская область
1112461;1108899;Пензенская область
1112462;1108899;Пермский край
1112463;1108899;Приморский край
1112464;1108899;Псковская область
1112465;1108899;Республика Адыгея (Адыгея)
1112466;1108899;Республика Алтай
1112467;1108899;Республика Башкортостан
1112468;1108899;Республика Бурятия
1112469;1108899;Республика Дагестан
1112470;1108899;Республика Ингушетия
1112471;1108899;Республика Калмыкия
1112472;1108899;Республика Карелия
1112473;1108899;Республика Коми
1112474;1108899;Республика Крым
1112475;1108899;Республика Марий Эл
1112476;1108899;Республика Мордовия
1112477;1108899;Республика Саха (Якутия)
1112478;1108899;Республика Северная Осетия - Алания
1112479;1108899;Республика Татарстан (Татарстан)
1112480;1108899;Республика Тыва
1112481;1108899;Республика Хакасия
1112482;1108899;Ростовская область
1112483;1108899;Самарская область
1112484;1108899;Саратовская область
1112485;1108899;Сахалинская область
1112486;1108899;Свердловская область
1112487;1108899;Смоленская область
1112488;1108899;Ставропольский край
1112489;1108899;Таймырский (Долгано-Ненецкий) автономный округ
1112490;1108899;Тамбовская область
1112491;1108899;Томская область
1112492;1108899;Тюменская область
1112493;1108899;Удмуртская Республика
1112494;1108899;Ульяновская область
1112495;1108899;Усть-Ордынский Бурятский автономный округ
1112496;1108899;Хабаровский край
1112497;1108899;Ханты-Мансийский автономный округ - Югра
1112498;1108899;Чеченская Республика
1112499;1108899;Чукотский автономный округ
1112500;1108899;Эвенкийский автономный округ
1112501;1108899;Ямало-Ненецкий автономный округ
1112502;1108899;Ярославская область