1108900;Москва
1110407;Московская область
1110408;Красноярск
1110409;Нижний Новгород
1111285;Чувашская Респ - Чувашия
1111316;Калининград
1111317;Тверская область
1111318;Рязанская область
1111319;Тульская область
1112367;Челябинская область
1112370;Краснодарский край
1112371;Курская область
1112372;Архангельская область
1112423;Агинский Бурятский автономный округ
1112424;Алтайский край
1112425;Амурская область
1112426;Астраханская область
1112427;Белгородская область
1112428;Брянская область
1112429;Владимирская область
1112430;Волгоградская область
1112431;Вологодская область
1112432;Воронежская область
1112433;Санкт-Петербург
1112434;Еврейская автономная область
1112435;Забайкальский край
1112436;Ивановская область
1112437;Иные территории,включая город и космодром Байконур
1112438;Иркутская область (Братск, Вихоревка, Усть-Кут)
1112439;Иркутская область (Иркутск, Ангарск, Черемхово, Зима, Саянск)
1112440;Кабардино-Балкарская Республика
1112441;Калужская область
1112442;Камчатский край
1112443;Карачаево-Черкесская Республика
1112444;Кемеровская область
1112445;Кировская область
1112446;Коми-Пермяцкий автономный округ
1112447;Корякский автономный округ
1112448;Костромская область
1112449;Красноярский край (местности, приравненные к районам Крайнего Севера)
1112450;Курганская область
1112451;Ленинградская область
1112452;Липецкая область
1112453;Магаданская область
1112454;Мурманская область
1112455;Ненецкий автономный округ
1112456;Новгородская область
1112457;Новосибирская область
1112458;Омская область
1112459;Оренбургская область
1112460;Орловская область
1112461;Пензенская область
1112462;Пермский край
1112463;Приморский край
1112464;Псковская область
1112465;Республика Адыгея (Адыгея)
1112466;Республика Алтай
1112467;Республика Башкортостан
1112468;Республика Бурятия
1112469;Республика Дагестан
1112470;Республика Ингушетия
1112471;Республика Калмыкия
1112472;Республика Карелия
1112473;Республика Коми
1112474;Республика Крым
1112475;Республика Марий Эл
1112476;Республика Мордовия
1112477;Республика Саха (Якутия)
1112478;Республика Северная Осетия - Алания
1112479;Республика Татарстан (Татарстан)
1112480;Республика Тыва
1112481;Республика Хакасия
1112482;Ростовская область
1112483;Самарская область
1112484;Саратовская область
1112485;Сахалинская область
1112486;Свердловская область
1112487;Смоленская область
1112488;Ставропольский край
1112489;Таймырский (Долгано-Ненецкий) автономный округ
1112490;Тамбовская область
1112491;Томская область
1112492;Тюменская область
1112493;Удмуртская Республика
1112494;Ульяновская область
1112495;Усть-Ордынский Бурятский автономный округ
1112496;Хабаровский край
1112497;Ханты-Мансийский автономный округ - Югра
1112498;Чеченская Республика
1112499;Чукотский автономный округ
1112500;Эвенкийский автономный округ
1112501;Ямало-Ненецкий автономный округ
1112502;Ярославская область